headline	summary
Сейвы Торопа, пятка Кассьерры и гол Соболева: «Зенит» разгромил «Ахмат» в Кубке России, ЦСКА сыграл вничью с «Рубином»	ЦСКА на выезде сыграл вничью с «Рубином» в первом матче 1/4 финала Пути РПЛ Кубка России. Хотя Марко Николич выставил основной состав, москвичи, как и в последних двух турах РПЛ, вновь выглядели невразумительно в атаке и нанесли лишь два удара в створ чужих ворот. Казанцы же вполне могли вырвать победу, но выстрел Мирлинда Даку с пенальти в концовке отразил Владислав Тороп. В свою очередь, «Зенит» в домашних стенах разгромил «Ахмат» и почти снял вопрос о победителе в противостоянии. До перерыва на «Газпром Арене» отличился Клаудиньо, а после — Матео Кассьерра и Александр Соболев.
Заявка на драфт НБА: российский баскетболист Дёмин оформил дабл-дабл в дебютном матче в NCAA	Егор Дёмин успешно дебютировал за команду Университета Бригама Янга в студенческой баскетбольной лиге США. В матче с «Центральным Арканзасом» россиянин оформил дабл-дабл, записав на свой счёт 18 очков и 11 передач, а также добавил в коллекцию по четыре подбора и перехвата. Главный тренер команды Кевин Янг высоко оценил выступление защитника, а в американских СМИ допустили, что он может быть выбран в первой семёрке на драфте НБА 2025 года, если продолжит играть на таком уровне.
Крах грандов: «Реал» и «Манчестер Сити» синхронно проиграли в четвёртом туре общего этапа Лиги чемпионов	«Реал» и «Манчестер Сити» потерпели сенсационные поражения в четвёртом туре общего этапа Лиги чемпионов. Мадридцы на своём поле не смогли справиться с «Миланом», а подопечных Пепа Гвардиолы в гостях разгромил «Спортинг», в составе которого хет-трик оформил Виктор Дьёкереш. Три гола Луиса Диаса помогли «Ливерпулю» расправиться с «Байером», а «Селтик» нанёс четвёртое поражение подряд «Лейпцигу». Дортмундская «Боруссия» и «Монако» вырвали победы благодаря забитым мячам на 86-й минуте, а точный удар Душана Влаховича с пенальти помог «Ювентусу» избежать фиаско во встрече с «Лиллем».
Когда домашние стены не помогают: «Спартак» проиграл «Ростову, а «Динамо» — «Локомотиву» в Кубке России	«Спартак» и «Динамо» на своём поле потерпели поражения в первых матчах 1/4 финала Пути РПЛ Кубка России. Подопечные Деяна Станковича не справились с «Ростовом», во втором тайме пропустив единственный гол с 11-метрового. При этом в первом сами имели шанс реализовать пенальти, но Эсекьель Барко не сумел перехитрить Рустама Ятимова. В свою очередь, бело-голубые также пропустили первыми, но уже спустя две минуты ответили на точный удар Сесара Монтеса, однако всё равно уступили «Локомотиву». После перерыва Сергей Пиняев записал на свой счёт победный мяч и помог Алексею Батракову оформить ассистентсткий дубль.
Предсказуемое разоблачение: СМИ опубликовали медицинские документы скандальной боксёрши Хелиф	Расследование французского издания Le Correspondant о скандальной победительнице Олимпиады в Париже Иман Хелиф показало: у боксёрши отсутствуют развитые женские половые органы, но при этом определяется нормальный мужской кариотип 46,ХY. По данным издания, соответствующий медицинский отчёт поступил в МОК более чем за год до Игр-2024, но был проигнорирован. Эксперты и мировые знаменитости призвали лишить спортсменку золотой медали, так как в противном случае в женском спорте может появиться множество других желающих победить нечестно.
Вторая молодость: Дзюба стал лидером «Акрона» и приблизился к рекорду Кержакова	Артём Дзюба быстро адаптировался в «Акроне» и стал одним из лидеров команды. В шести матчах РПЛ он отметился двумя голами и трижды ассистировал партнёрам. Попутно он до двух мячей сократил отставание от Александра Кержакова в списке самых результативных российских футболистов. Тольяттинцы же с его приходом решили проблему с отсутствием результативного нападающего, одержали три победы и поднялись с 14-го места в таблице на восьмое. Главный тренер Заурбек Тедеев признался, что от сотрудничества с ветераном выигрывают все, а одноклубники отметили его позитивное влияние на атмосферу в раздевалке.
Травля Медведевой, обида Загитовой и возвращение Валиевой: что обсуждают в мире фигурного катания	Евгения Медведева рассказала о травле из-за фамилии Бабасян, которую она носила в детстве, а также призналась, что не держит обиды на Этери Тутберидзе из-за проигрыша на Олимпиаде в Пхёнчхане. В свою очередь, Алина Загитова призналась, что хотела бы дружить с вице-чемпионкой Игр-2018, но та её игнорирует и даже не здоровается. Между тем Камила Валиева заявила о намерении вернуться в спорт по истечении срока дисквалификации, а действующая чемпионка России Аделия Петросян жёстко раскритиковала себя за ошибки на этапе Гран-при в Казани. Что обсуждают в мире фигурного катания — в материале RT.
Последнее испытание перед походом за вторым титулом: Махачев может провести реванш с Царукяном на UFC 311 в январе	Поединок между Исламом Махачевым и Арманом Царукяном может состояться на турнире UFC 311, который планируется провести 18 января на новой арене в Инглвуде. Об этом сообщил MMA-инсайдер Манук Акопян, после чего в команде претендента подтвердили информацию. В случае победы россиянин не только установит рекорд лёгкого дивизиона по числу защит пояса, но и может получить право сразиться за титул в полусреднем дивизионе. Проблема в том, что им владеет Белал Мухаммад, биться с которым Махачев не намерен.
«Плюс один гол на пути к рекорду»: Овечкин забросил 860-ю шайбу в НХЛ и продлил результативную серию до четырёх матчей	Александр Овечкин забил в четвёртом подряд матче регулярного чемпионата НХЛ. Капитан «Вашингтона» отметился в игре с «Каролиной», реализовав большинство в концовке первого периода. Однако его затмил бывший одноклубник Дмитрий Орлов, который оформил дубль за «Харрикейнз» и был признан первой звездой встречи. В свою очередь, форвард «Рейнджерс» Артемий Панарин дважды поразил ворота «Айлендерс» и помог команде одержать победу в нью-йоркском дерби, а нападающий «Тампы» Никита Кучеров забил «Виннипегу» и первым из россиян достиг отметки десять голов в новом сезоне.
Сравнения с Линдросом и звание новичка месяца: как Мичков с ходу стал главным претендентом на «Колдер Трофи»	Матвей Мичков ударно провёл дебютный месяц в НХЛ. В 12 матчах нападающий «Филадельфии» отметился четырьмя голами и пятью ассистами, благодаря чему был признан новичком месяца по версии лиги, а авторитетное издание Daily Faceoff назвало его главным претендентом на «Колдер Трофи». Восхищение его выступлением выразили партнёры по команде Шон Кутюрье и Джейми Драйсдейл, а в ESPN сравнили с легендами «Флайерз» — Эриком Линдросом и Клодом Жиру.
В напряжённой дуэли: Дикиджи на 0,06 балла обошёл Лутфуллина в произвольной программе и выиграл этап Гран-при в Казани	Владислав Дикиджи одержал победу на втором этапе Гран-при России по фигурному катанию в Казани. По сумме двух программ петербуржец менее чем на четыре балла обошёл ставшего вторым Глеба Лутфуллина. При этом в произвольной разрыв между спортсменами составил всего 0,06 очка, а ставший вторым атлет сказал, что серебряная медаль для него — с золотым отливом. В свою очередь, в турнире спортивных пар уверенно взяли верх экс-чемпионы Европы Александра Бойкова и Дмитрий Козловский, опередившие ближайших конкурентов на 26,61 балла.
Чудо-развязка: голевой пас Миранчука помог «Атланте» на 94-й минуте вырвать победу у «Интер Майами» в плей-офф MLS	«Атланта Юнайтед» взяла верх над «Интер Майами» в ответном матче 1/8 финала плей-офф MLS. Незадолго до перерыва гости открыли счёт, воспользовавшись ошибкой Брэда Гузана, который выронил мяч из рук и подарил его сопернику. По истечении часа Деррик Уильямс восстановил равновесие после подачи углового. А на 94-й минуте вышедший на замену Шандре Силва точно пробил в ближнюю девятку из полукружия штрафной, воспользовавшись пасом Алексея Миранчука. Это позволило команде сравнять счёт по сумме двух встреч. Теперь соперников ждёт решающее противостояние во Флориде.
«Играть с ним одно удовольствие»: Овечкин забросил 859-ю шайбу в НХЛ и набрал три очка во втором матче подряд	Александр Овечкин помог «Вашингтону» разгромить «Коламбус» в матче регулярного чемпионата НХЛ. В дебюте он пасом из своей зоны начал результативную контратаку, которую точным броском уже на 56-й секунде завершил Алексей Протас. Вскоре россиянин отличился самостоятельно мощным щелчком практически из левого круга и отметился шестым голом в текущем сезоне и 859-м в карьере. Это позволило ему до 35 шайб сократить отставание от Уэйна Гретцки в списке лучших снайперов в истории лиги. В концовке нападающий вдобавок вывел на пустые ворота Дилана Строма, оформив ассистентский дубль.
Обидная развязка: Слуцкий не сумел стать чемпионом Китая с «Шанхай Шэньхуа»	«Шанхай Шэньхуа» не сумел стать чемпионом Китая. За два тура до финиша подопечные Леонида Слуцкого поднялись на вершину таблицы, воспользовавшись осечкой главного конкурента — «Шанхай Порт». Однако в предпоследнем матче сенсационно разошлись миром с аутсайдером «Шэньчжэнь Пэн Сити» и в итоге довольствовались серебром. Вместе с тем команда в дебютном сезоне под руководством россиянина впервые с 2010 года поднялась на пьедестал национального первенства и вдобавок завоевала Суперкубок страны.
Гол Бонгонды, черпачок Медины и удаления Виллиана, Литвинова и Облякова: «Спартак» обыграл ЦСКА в 14-м туре РПЛ	«Спартак» обыграл ЦСКА в центральном матче 14-го тура РПЛ. Гости в первом тайме владели преимуществом и при помощи прессинга практически не позволяли соперникам организовывать контрвыпады. Давление вылилось в гол Тео Бонгонды на 45-й минуте. После перерыва судья Алексей Сухой был вынужден показать три красные карточки. Сначала за участие в массовой стычке напрямую удалили Виллиана Рошу и Вячеслава Литвинова. Причём россиянина рефери выгнал с поля, посмотрев повтор. Затем второй горчичник продемонстрировали Ивану Облякову. Вдевятером армейцы не сумели организовать финальный штурм и в компенсированное время позволили вышедшему на замену Хесусу Медине поставить точку.
Королева Зазеркалья: почему Петросян должна встретить олимпийский сезон абсолютным лидером	Аделия Петросян уверенно выиграла короткую программу на этапе Гран-при в Казани. Она выполнила тройной аксель и набрала 85,67 балла. Ближайшая преследовательница Вероника Яметова отстала сразу на 11,27, хотя справилась со всеми элементами. Данным выступлением действующая чемпионка России продемонстрировала, что способна одерживать победы и на крупнейших международных соревнованиях, если россиян допустят туда в следующем году.
Не сбавляя оборотов: Капризов первым набрал 20 очков в сезоне НХЛ и установил два рекорда	Кирилл Капризов первым в сезоне преодолел планку 20 очков и единолично возглавил гонку бомбардиров НХЛ. В матче с «Тампа-Бэй» российский форвард отметился дублем и результативной передачей, благодаря чему не только был признан первой звездой, но и установил два рекорда «Миннесоты». В свою очередь, «Рейнджерс» взял верх над «Оттавой» благодаря 40 сейвам Игоря Шестёркина и шайбе Артемия Панарина, а гол и результативный пас Максима Цыплакова помогли «Айлендерс» сломить сопротивление «Баффало».
Рекорд Шипачёва, конфликт Ротенберга со «Спартаком» и увольнение Мартемьянова: главные события недели в КХЛ	«Локомотив» одержал семь побед подряд и закрепился на вершине сводной таблицы регулярного чемпионата КХЛ, а действующий обладатель Кубка Гагарина «Металлург» выдал серию из трёх поражений. КХЛ вынесла предупреждение главному тренеру СКА Роману Ротенбергу за эмоциональные заявления о болельщиках соперника по окончании противостояния со «Спартаком», а наставник «Амура» Андрей Мартемьянов покинул свой пост после неудачного старта. Вадим Шипачёв побил рекорд результативности Сергея Мозякина, набрав 929-е очко в родном Череповце, а Яков Рылов провёл 1000-ю встречу в высших дивизионах чемпионата России.
Угроза нарушения договора: что известно о возможном приезде второго состава команды Брунея на матч с Россией	В Футбольной ассоциации Брунея (FABD) опровергли информацию о том, что в товарищеском матче со сборной России, который пройдёт 15 ноября в Краснодаре, примет участие второй состав. Вместе с тем в организации не исключили отказа некоторых спортсменов от участия во встрече по личным причинам. Ранее там сообщали, что по причине отпуска игроков основы заменят полупрофессиональные исполнители. При этом в РФС заявили, что в договоре чётко прописан пункт, согласно которому на поле должны выйти сильнейшие атлеты.
«Невероятный хоккеист»: Овечкин отдал две голевые передачи и забросил с острого угла 858-ю шайбу в НХЛ	Александр Овечкин стал главным героем матча регулярного чемпионата НХЛ с «Монреалем». Во втором периоде он помог Тому Уилсону открыть счёт, а в заключительном ассистировал Алексею Протасу и отличился самостоятельно броском почти с нулевого угла. Это позволило ему сократить отставание от Уэйна Гретцки в списке лучших снайперов в истории лиги до 36 голов. В свою очередь, Андрей Свечников оформил дубль и был признан первой звездой во встрече с «Бостоном», а Василий Подколзин отметился не только результативной передачей, но и впечатляющим нокдауном, сойдясь в рукопашной с защитником «Нэшвилла».
«Будем бороться»: Самохин о желании Хаврониной и Нарижного стать лучшей парой России и сражении со Степановой и Букиным	Ирина Хавронина и Девид Нарижный имеют все шансы уже в текущем сезоне составить реальную конкуренцию Александре Степановой и Ивану Букину в танцах на льду. Об этом в интервью RT заявил их тренер Денис Самохин. Он также рассказал, какие сложности возникли при формировании новой пары, объяснил, в чём его подопечным необходимо прибавить, и назвал причины ухода из своей группы Елизаветы Худайбердиевой и Егора Базина.
Пока Сергачёв помогал громить «Калгари»: Кучеров 92-й раз в карьере набрал три очка и вернулся в топ-5 бомбардиров НХЛ	Никита Кучеров был признан первой звездой матча регулярного чемпионата НХЛ с «Колорадо». Российский нападающий «Тампа-Бэй» записал на свой счёт гол и две результативные передачи и 92-й раз в карьере набрал три очка за встречу, а также вышел на второе место в списке лучших снайперов сезона. В свою очередь, голкипер «Лайтнинг» Андрей Василевский одержал 299-ю победу в лиге, а их бывший партнёр Михаил Сергачёв отличился сам и дважды ассистировал партнёрам, поучаствовав в разгроме «Калгари».
Последствия стихии: семь матчей Кубка Испании по футболу перенесены из-за наводнения	Семь матчей первого раунда Кубка Испании перенесены на другие даты из-за сильного наводнения на юго-востоке страны, унёсшего жизни более 90 человек. Некоторые команды не сумели отправиться в другие города по причине остановки железнодорожного сообщения. Стадион в Чиклане оказался вообще затоплен. Между тем домашние арены «Валенсии» и «Реала» временно переоборудовали в пункты сбора продуктов питания и предметов первой необходимости. При этом RFEF сообщила о просьбе клубов и Ла Лиги не проводить встречи, запланированные в рамках профессиональных футбольных лиг в автономной области Валенсия на ближайшие выходные.
Шедевр Бевеева, сейвы Заболотного и спасения Митрова: определились все четвертьфиналисты Пути регионов Кубка России	«Урал» обыграл «Балтику» благодаря голу-шедевру в исполнении вышедшего на замену Мингияна Бевеева в начале второго тайма. «Шинник» в серии пенальти одолел «Чайку», а 19-летний вратарь ярославцев Тимофей Митров совершил два сейва. «Тюмень» разгромила «Амкар-Пермь», представляющий пятый по силе дивизион страны. А «Сочи» помогли выбить костромской «Спартак» только два спасения Николая Заболотного в «лотерее». Чем запомнились матчи 1/8 финала Пути регионов Кубка России — в материале RT.
«Луч надежды»: как встретили выдвижение Усманова на пост главы FIE	В России с воодушевлением встретили решение Алишера Усманова баллотироваться на пост президента Международной федерации фехтования. Министр спорта Михаил Дегтярёв считает, что поддержка этой кандидатуры  более чем ста национальными организациями говорит о доверии к бизнесмену со стороны профильных специалистов и спортивного сообщества. А двукратная олимпийская чемпионка Софья Великая назвала возможное возвращение Усманова лучом надежды. В исполкоме высоко оценили шансы миллиардера вновь возглавить FIE.
Первый дубль в сезоне: Овечкин забросил дважды за 107 секунд и сократил отставание от Гретцки до 37 голов	Александр Овечкин стал главной звездой матча регулярного чемпионата НХЛ с «Рейнджерс». Капитан «Вашингтона» забросил две шайбы за 107 секунд и достиг отметки 857 голов за карьеру, до 37 сократив отставание от Уэйна Гретцки в списке лучших снайперов в истории. В свою очередь, нападающий «Миннесоты» Кирилл Капризов набрал три очка во встрече с «Питтсбургом» и возглавил гонку бомбардиров нынешнего сезона.
Остаться в истории: почему Игнатовой не стоит возобновлять любительскую карьеру	Александра Игнатова не намерена возвращаться к соревнованиям в этом сезоне, но уже приступила к выступлениям в ледовых шоу: очередное пройдёт в эти выходные в Москве. И хотя заслуженный тренер России Татьяна Тарасова не исключает возможного участия вице-чемпионки Игр в заключительных этапах сезона, возобновление любительской карьеры вряд ли пойдёт ей на пользу. А в худшем случае может негативно сказаться на её наследии.
В плену обстоятельств: дадут ли Анкалаеву бой за титул UFC после победы над Ракичем	Выступление Магомеда Анкалаева на турнире UFC 308 в Абу-Даби восприняли по-разному. Если в России многие восхитились его победой над Александром Ракичем и призвали дать ему шанс сразиться с Алексом Перейрой за титул в полутяжёлом весе, то другие подвергли жёсткой критике. В частности, бывший обладатель пояса Джамал Хилл назвал бой скучным и выразил сомнение, что в ближайшем будущем отечественный боец получит статус первого претендента. И это несмотря на то, что глава UFC Дана Уайт похвалил россиянина и посчитал его достойным чемпионского боя.
На костылях и со слезами на глазах: Родри опередил Винисиуса в борьбе за «Золотой мяч»	Родри стал обладателем «Золотого мяча» как лучший футболист мира по итогам прошлого сезона. В борьбе за награду он неожиданно опередил Винисиуса Жуниора, хотя ранее СМИ именно его называли главным фаворитом. Узнав о поражении, бразилец, как и другие представители «Реала», не прилетел в Париж. Испанец же прибыл во Францию, несмотря на травму колена, и передвигался на костылях. А услышав свою фамилию, не сдержал слёз.
